,quote_date,Dividend,underlying_bid_1545,symbol,expiration,strike,bid_1545,ask_1545,net_change,implied_volatility_1545,volume,Interest_rate,date_diff,expiration_group,Strike_diff,Strike_group
0,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,9300.00,0.35,0.5, -0.55, 92.08,338.0,6.25,3.0,0_week,0.22010943625652535,plus_20
1,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,9350.00,0.35,1.4, -0.50, 93.17,,6.25,3.0,0_week,0.2159164762363991,plus_20
2,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,9400.00,0.5,0.65, -0.30, 93.56,27.0,6.25,3.0,0_week,0.21172351621627283,plus_20
3,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,9450.00,0.15,1.5, -0.10, 90.96,,6.25,3.0,0_week,0.2075305561961467,plus_20
4,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,9500.00,0.5,0.6, -0.40, 87.57,,6.25,3.0,0_week,0.20333759617602043,plus_20
5,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,9550.00,0.25,1.0, -0.40, 84.89,,6.25,3.0,0_week,0.19914463615589428,plus_10
6,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,9600.00,0.45,0.95, -0.10, 86.60,56.0,6.25,3.0,0_week,0.19495167613576803,plus_10
7,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,9650.00,0.1,1.1, -0.10, 84.10,,6.25,3.0,0_week,0.19075871611564188,plus_10
8,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,9700.00,0.45,0.75, -0.20, 80.20,201.0,6.25,3.0,0_week,0.18656575609551562,plus_10
9,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,9750.00,0.8,1.7, 0.05, 83.94,21.0,6.25,3.0,0_week,0.18237279607538948,plus_10
10,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,9800.00,0.55,0.7, -0.05, 79.09,229.0,6.25,3.0,0_week,0.17817983605526322,plus_10
11,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,9850.00,0.15,1.1,0,0,0.0,6.25,3.0,0_week,0.17398687603513696,plus_10
12,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,9900.00,0.55,0.7, -0.05, 74.82,159.0,6.25,3.0,0_week,0.16979391601501082,plus_10
13,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,9950.00,0.2,1.1,0,0,0.0,6.25,3.0,0_week,0.16560095599488456,plus_10
14,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10000.00,1.25,1.3, -0.05, 76.52,,6.25,3.0,0_week,0.1614079959747584,plus_10
15,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10050.00,0.15,1.1, -0.60, 73.22,1.0,6.25,3.0,0_week,0.15721503595463215,plus_10
16,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10100.00,1.45,1.75, 0.05, 74.91,657.0,6.25,3.0,0_week,0.153022075934506,plus_10
17,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10150.00,0.2,1.3,0,0,0.0,6.25,3.0,0_week,0.14882911591437975,plus_10
18,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10200.00,1.15,1.5, -0.45, 68.48,568.0,6.25,3.0,0_week,0.1446361558942535,plus_10
19,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10250.00,0.25,1.35,0,0,0.0,6.25,3.0,0_week,0.14044319587412735,plus_10
20,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10300.00,0.7,1.2, -0.50, 64.36,568.0,6.25,3.0,0_week,0.1362502358540011,plus_10
21,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10350.00,0.25,1.3,0,0,0.0,6.25,3.0,0_week,0.13205727583387494,plus_10
22,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10400.00,1.25,1.45, -0.55, 61.91,951.0,6.25,3.0,0_week,0.12786431581374869,plus_10
23,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10450.00,0.35,1.9, -74.20, 60.69,12.0,6.25,3.0,0_week,0.12367135579362254,plus_10
24,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10500.00,1.4,1.6, -0.95, 57.82,,6.25,3.0,0_week,0.11947839577349628,plus_10
25,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10550.00,0.5,1.95,0,0,0.0,6.25,3.0,0_week,0.11528543575337014,plus_10
26,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10600.00,1.65,2.0, -0.45, 55.09,,6.25,3.0,0_week,0.11109247573324388,plus_10
27,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10650.00,1.0,2.3, -0.15, 56.09,2.0,6.25,3.0,0_week,0.10689951571311762,plus_10
28,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10700.00,1.95,2.4, -0.30, 53.62,,6.25,3.0,0_week,0.10270655569299147,plus_10
29,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10750.00,0.8,2.95,0,0,0.0,6.25,3.0,0_week,0.09851359567286522,mid_point
30,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10800.00,2.4,2.6, -0.80, 49.76,,6.25,3.0,0_week,0.09432063565273907,mid_point
31,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10850.00,2.3,3.0, -0.75, 47.33,331.0,6.25,3.0,0_week,0.09012767563261281,mid_point
32,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10900.00,2.4,2.75, -0.70, 46.63,,6.25,3.0,0_week,0.08593471561248667,mid_point
33,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,10950.00,1.85,3.7, -1.30, 43.35,44.0,6.25,3.0,0_week,0.08174175559236041,mid_point
34,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,11000.00,2.85,3.15, -1.10, 43.10,,6.25,3.0,0_week,0.07754879557223426,mid_point
35,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,11050.00,2.5,5.6, -0.35, 42.91,138.0,6.25,3.0,0_week,0.073355835552108,mid_point
36,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,11100.00,3.5,3.55, -1.05, 39.91,,6.25,3.0,0_week,0.06916287553198175,mid_point
37,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,11150.00,3.25,6.8, -0.25, 38.78,520.0,6.25,3.0,0_week,0.0649699155118556,mid_point
38,2019-05-27, 1.11,11924.75,NIFTY,2019-05-30,11200.00,3.8,3.85, -1.90, 36.25,,6.25,3.0,0_week,0.060776955491729345,mid_point
